ชื่อเรื่อง,ปี,คะแนน,ผู้เขียน,ฐานวารสาร
The Impact of Good Corporate Governance on Thai Real Estate Companies' Firm Performance,2568,0.6,Kanitpirom Wattanasan,TCI2
The Impact of Good Corporate Governance on Thai Real Estate Companies' Firm Performance,2568,0.6,Bhupesh Lohar,TCI2
The Impact of Good Corporate Governance on Thai Real Estate Companies' Firm Performance,2568,0.6,Rosario Cano Garcia,TCI2
The Impact of Good Corporate Governance on Thai Real Estate Companies' Firm Performance,2568,0.6,Chalee Phamonmontri,TCI2
Fragmented Identities and Feminist Schizoanalysis: Reimagining the Self in Contemporary American Fiction,2568,1.0,Pushpraj Singh,Scopus Q2
Fragmented Identities and Feminist Schizoanalysis: Reimagining the Self in Contemporary American Fiction,2568,1.0,Ekta Rana ,Scopus Q2
The Relationship Between Proximity to Television Transmission Towers and the Health Conditions of Secondary School Students,2568,0.6,Chutimon Phoemwong,TCI2
The Relationship Between Proximity to Television Transmission Towers and the Health Conditions of Secondary School Students,2568,0.6,Rattiya Meesomsak,TCI2
The Relationship Between Proximity to Television Transmission Towers and the Health Conditions of Secondary School Students,2568,0.6,Chompusakdi Pulkate,TCI2
The Relationship Between Proximity to Television Transmission Towers and the Health Conditions of Secondary School Students,2568,0.6,Vijaya Bhakskara Reddy Mutha,TCI2
The Relationship Between Proximity to Television Transmission Towers and the Health Conditions of Secondary School Students,2568,0.6,Grace Calugan Bangasan,TCI2
The Development of Learning Activities on Statistics in Everyday Life Course through Authentic Project Based-Learning Approach for Undergraduate Students in Private University,2568,0.6,Montien Chomdokmai,TCI2
The Development of Learning Activities on Statistics in Everyday Life Course through Authentic Project Based-Learning Approach for Undergraduate Students in Private University,2568,0.6,Pojanee Mangkang,TCI2
Organizational Culture and Job Satisfaction: The Mediating Role of Work-Life Balance in the Airline Industry,2568,0.6,Juan Rodrigo Beldad Del Villar,TCI2
Organizational Culture and Job Satisfaction: The Mediating Role of Work-Life Balance in the Airline Industry,2568,0.6,Amornteb Intasorn,TCI2
Organizational Culture and Job Satisfaction: The Mediating Role of Work-Life Balance in the Airline Industry,2568,0.6,Sukit Klinhom,TCI2
Organizational Culture and Job Satisfaction: The Mediating Role of Work-Life Balance in the Airline Industry,2568,0.6,Surath Sridech,TCI2
Organizational Culture and Job Satisfaction: The Mediating Role of Work-Life Balance in the Airline Industry,2568,0.6,Saran Kumar,TCI2
Organizational Culture and Job Satisfaction: The Mediating Role of Work-Life Balance in the Airline Industry,2568,0.6,Syed Habeeb,TCI2
ภูมิปัญญาท้องถิ่นกับการเลี้ยงลูกด้วยนมแม่,2568,0.6,Thanomrat Prasith-thimet,TCI2
ภูมิปัญญาท้องถิ่นกับการเลี้ยงลูกด้วยนมแม่,2568,0.6,Chuanpit Charoenpong,TCI2
ภูมิปัญญาท้องถิ่นกับการเลี้ยงลูกด้วยนมแม่,2568,0.6,Sumitra Sittirit,TCI2
ภูมิปัญญาท้องถิ่นกับการเลี้ยงลูกด้วยนมแม่,2568,0.6,Kingkaew Sangpaew,TCI2
ภูมิปัญญาท้องถิ่นกับการเลี้ยงลูกด้วยนมแม่,2568,0.6,Wanree Saisamuth,TCI2
ปัจจัยที่มีความสัมพันธ์กับความส าเร็จในการรักษาด้วยเครื่องให้ออกซิเจนเสริมชนิดอัตราการไหลสูง ในผู้ป่วย  เด็กที่เข้ารักษาในโรงพยาบาลสระบุรี,2568,0.6,Wilaiwan Sangthum,TCI2
Motivation and Employability Skills of Airline Business Graduates: The Mediating Role of Self-Efficacy,2568,0.6,Juan Rodrigo Beldad Del Villar,TCI2
Motivation and Employability Skills of Airline Business Graduates: The Mediating Role of Self-Efficacy,2568,0.6,Amarjeet Singh Mastana ,TCI2
Motivation and Employability Skills of Airline Business Graduates: The Mediating Role of Self-Efficacy,2568,0.6,Saran Kumar,TCI2
ผลของโปรแกรมการออกกำลังกายเพื่อป้องกันออฟฟิศซินโดรมต่อระดับความเจ็บปวดกล้ามเนื้อคอบ่าไหลและหลังส่วนต้นในกลุ่มวัยทำงาน,2568,0.6,Pudsadee Korjedee,TCI2
รูปแบบการส่งเสริมความรอบรู้ด้านสุขภาพเพื่อป้องกันโรคหลอดเลือดสมองในผู้ป่วยโรคความดันโลหิตสูงในชุมชน,2568,0.8,Panida Klosawasdi,TCI1
รูปแบบการส่งเสริมความรอบรู้ด้านสุขภาพเพื่อป้องกันโรคหลอดเลือดสมองในผู้ป่วยโรคความดันโลหิตสูงในชุมชน,2568,0.8,Jarunee Janpleng,TCI1
รูปแบบการส่งเสริมความรอบรู้ด้านสุขภาพเพื่อป้องกันโรคหลอดเลือดสมองในผู้ป่วยโรคความดันโลหิตสูงในชุมชน,2568,0.8,Prang Jukchai,TCI1
Digital marketing approaches and their role in fostering healthy eating behaviors: A systematic literature review,2568,1.0,Amarjeet Singh Mastana ,Scopus Q3
Wearable technology in social efforts to improve health and happiness of consumer applications: A Systematic literature review,2568,1.0,Amarjeet Singh Mastana ,Scopus Q4
"Emotional Intelligence and Self Management as Predictors of Job Performance among Hotel Employees in Bangkok, Thailand",2568,0.6,Juan Rodrigo Beldad Del Villar,TCI2
"Emotional Intelligence and Self Management as Predictors of Job Performance among Hotel Employees in Bangkok, Thailand",2568,0.6,Alfredo Cariaso Espejo,TCI2
"Emotional Intelligence and Self Management as Predictors of Job Performance among Hotel Employees in Bangkok, Thailand",2568,0.6,Harrywong Kubtavanich,TCI2
"Emotional Intelligence and Self Management as Predictors of Job Performance among Hotel Employees in Bangkok, Thailand",2568,0.6,Nopearrnund Peanmunkung,TCI2
"Emotional Intelligence and Self Management as Predictors of Job Performance among Hotel Employees in Bangkok, Thailand",2568,0.6,Willard Jeff Villablanca Pada,TCI2
The Impact of work Environment and Motivation on Job Statisfaction among Airline Ground Staff in Thailand,2568,0.6,Juan Rodrigo Beldad Del Villar,TCI2
The Impact of work Environment and Motivation on Job Statisfaction among Airline Ground Staff in Thailand,2568,0.6,Amornteb Intasorn,TCI2
The Impact of work Environment and Motivation on Job Statisfaction among Airline Ground Staff in Thailand,2568,0.6,Surarak Onpan,TCI2
Influence Of English Language On Metadata Standardization In Global Library Networks,2567,1.0,Ekta Rana ,Scopus Q4
